Quantidade média de operações para inserção de registros aleatórios
, Arvore AVL, Arvore Rubro-negran, Arvore B
, 3758.500, 2.000, 774547648.000 
, 3769.100, 5.000, 835389696.000 
, 3786.100, 10.000, 774547648.000 
, 3804.700, 15.500, 835389696.000 
, 3828.000, 22.200, 620924864.000 
, 3854.300, 28.000, 724791104.000 
, 3876.300, 33.400, 608042624.000 
, 3905.600, 41.500, 580014464.000 
, 3936.500, 49.100, 465928608.000 
, 3973.600, 57.300, 573392896.000 
, 4016.500, 65.800, 397147328.000 
, 4059.000, 75.400, 365933408.000 
, 4099.600, 83.700, 380278592.000 
, 4143.300, 93.000, 179623648.000 
, 4188.200, 102.400, 199799808.000 
, 4236.700, 113.100, 103397360.000 
, 518.000, 122.800, 82650384.000 
, 576.500, 134.800, 48407428.000 
, 630.900, 145.400, 158.700 
, 695.500, 157.400, 180.700 
, 763.800, 167.900, 197.500 
, 829.700, 179.900, 221.500 
, 893.700, 191.100, 237.600 
, 967.400, 203.300, 264.700 
, 1046.000, 215.000, 280.100 
, 1113.500, 228.000, 309.100 
, 1184.400, 240.200, 322.400 
, 1260.300, 252.800, 355.800 
, 1334.400, 264.400, 369.400 
, 1412.500, 277.600, 403.200 
, 1491.900, 289.600, 417.200 
, 1575.700, 303.000, 452.800 
, 1662.000, 315.200, 467.200 
, 1755.900, 329.300, 504.600 
, 1858.200, 342.500, 519.500 
, 1960.200, 356.100, 559.900 
, 2062.700, 369.200, 575.200 
, 2167.600, 383.700, 616.000 
, 2284.000, 397.000, 631.700 
, 2401.900, 411.200, 671.400 
, 2520.200, 424.200, 687.400 
, 2632.300, 438.400, 727.400 
, 2757.400, 451.800, 743.700 
, 2883.200, 466.000, 785.300 
, 3001.100, 479.600, 801.800 
, 3115.200, 493.600, 843.600 
, 3246.700, 506.900, 860.300 
, 3374.200, 521.200, 901.000 
, 3497.500, 534.700, 918.000 
, 3605.400, 550.000, 959.000 
, 3715.900, 564.200, 976.300 
, 3836.100, 578.900, 1020.100 
, 3958.800, 593.100, 1037.500 
, 4072.400, 608.400, 1081.400 
, 4193.500, 622.700, 1098.900 
, 4322.000, 637.900, 1140.200 
, 4451.100, 652.100, 1157.900 
, 4573.800, 667.100, 1199.400 
, 4705.900, 681.500, 1217.300 
, 4842.200, 696.500, 1260.300 
, 4977.300, 711.100, 1278.300 
, 5108.800, 726.300, 1321.400 
, 5247.500, 740.400, 1339.500 
, 5385.500, 755.900, 1381.400 
, 5526.900, 770.400, 1399.700 
, 5676.600, 786.700, 1441.800 
, 5829.800, 801.400, 1460.300 
, 5988.000, 817.600, 1506.500 
, 6151.900, 832.600, 1525.000 
, 6319.100, 848.900, 1571.200 
, 6494.800, 864.200, 1589.700 
, 6679.100, 880.600, 1633.400 
, 6864.800, 895.800, 1652.100 
, 7044.900, 911.600, 1696.000 
, 7235.800, 927.200, 1714.900 
, 7431.700, 943.200, 1760.300 
, 7626.300, 958.500, 1779.300 
, 7820.300, 975.400, 1824.800 
, 8030.000, 991.000, 1843.900 
, 8244.500, 1007.100, 1888.200 
, 8457.400, 1022.400, 1907.500 
, 8653.700, 1038.600, 1952.000 
, 8863.300, 1053.500, 1971.500 
, 9083.100, 1070.100, 2018.700 
, 9294.000, 1085.600, 2038.200 
, 9496.500, 1101.900, 2085.400 
, 9714.500, 1116.700, 2104.900 
, 9931.900, 1133.400, 2148.200 
, 10148.300, 1148.100, 2167.900 
, 10361.500, 1164.400, 2211.400 
, 10583.300, 1179.500, 2231.300 
, 10812.700, 1196.200, 2276.300 
, 11039.100, 1211.300, 2296.300 
, 11265.300, 1228.100, 2341.400 
, 11514.400, 1243.700, 2361.500 
, 11773.700, 1260.300, 2405.400 
, 12024.500, 1276.000, 2425.700 
, 12236.800, 1293.000, 2469.800 
, 12470.600, 1309.000, 2490.300 
, 12716.900, 1325.800, 2538.300 
, 12941.800, 1342.100, 2558.700 
, 13147.700, 1359.600, 2606.600 
, 13377.100, 1375.700, 2626.900 
, 13593.200, 1392.900, 2672.200 
, 13810.900, 1409.100, 2692.600 
, 14023.200, 1426.300, 2738.000 
, 14246.100, 1442.700, 2758.500 
, 14474.200, 1459.900, 2805.300 
, 14701.700, 1476.300, 2825.800 
, 14926.800, 1493.900, 2872.600 
, 15168.500, 1510.700, 2893.100 
, 15414.800, 1527.600, 2938.600 
, 15658.600, 1543.600, 2959.200 
, 15888.000, 1560.900, 3004.800 
, 16130.900, 1577.500, 3025.500 
, 16381.200, 1594.400, 3073.700 
, 16624.301, 1611.100, 3094.300 
, 16858.801, 1628.200, 3142.400 
, 17108.801, 1644.200, 3162.900 
